country_name,iso3c,income_id,capita_kg_year,gdp_capita,year
British Virgin Islands,VGB,HIC,1022,NA,2019
Virgin Islands (U.S.),VIR,HIC,1384.8975270362248,38136.6657604365,2019
Vietnam,VNM,LMC,110.08886711362803,2715.27598010995,2019
Vanuatu,VUT,LMC,259.7077277534929,3116.29775912529,2019
Samoa,WSM,UMC,146,4322.86845664045,2019
Kosovo,XKX,LMC,177.04517704517704,NA,NA
"Yemen, Rep.",YEM,LIC,175.34740524761048,NA,2019
South Africa,ZAF,UMC,356.80390611564684,6624.76186493309,2019
Zambia,ZMB,LMC,182.8470111931813,1305.00103080403,2019
Zimbabwe,ZWE,LIC,115.9752890378604,1316.74065692871,2019
